YEAR,MURDER,RAPE,BURGLARY,HURT,location,latitude,longitude
2001,101,50,198,1131,"ADILABAD, ANDHRA PRADESH",17.24083,78.48053
2001,151,23,191,1543,"ANANTAPUR, ANDHRA PRADESH",14.42524,77.71148
2001,101,27,237,2088,"CHITTOOR, ANDHRA PRADESH",13.20344,79.08154
2001,80,20,98,795,"CUDDAPAH, ANDHRA PRADESH",14.67425,78.42032
2001,82,23,437,1244,"EAST GODAVARI, ANDHRA PRADESH",16.95918,82.23544
2001,3,0,0,1,"GUNTAKAL RLY., ANDHRA PRADESH",15.16168,77.37832
2001,182,54,338,1792,"GUNTUR, ANDHRA PRADESH",16.29381,80.45467
2001,111,37,1155,3137,"HYDERABAD CITY, ANDHRA PRADESH",17.24083,78.48053
2001,162,56,218,1392,"KARIMNAGAR, ANDHRA PRADESH",17.24083,78.48053
2001,93,47,172,1026,"KHAMMAM, ANDHRA PRADESH",17.24083,78.48053
2001,65,37,163,1985,"KRISHNA, ANDHRA PRADESH",16.96081,82.23694
2001,133,29,155,1547,"KURNOOL, ANDHRA PRADESH",15.830925,78.042537
2001,157,59,249,867,"MAHABOOBNAGAR, ANDHRA PRADESH",29.484731,-98.411616
2001,101,35,219,1367,"MEDAK, ANDHRA PRADESH",17.24083,78.48053
2001,122,35,133,1132,"NALGONDA, ANDHRA PRADESH",17.24083,78.48053
2001,89,46,244,1119,"NELLORE, ANDHRA PRADESH",14.449372,79.987376
2001,106,21,158,1383,"NIZAMABAD, ANDHRA PRADESH",17.24083,78.48053
2001,102,19,147,1266,"PRAKASHAM, ANDHRA PRADESH",13.21797,79.10104
2001,214,72,1076,2829,"RANGA REDDY, ANDHRA PRADESH",17.501381,78.508499
2001,6,0,2,17,"SECUNDERABAD RLY., ANDHRA PRADESH",17.24083,78.48053
2001,38,8,118,679,"SRIKAKULAM, ANDHRA PRADESH",18.29494,83.893875
2001,53,25,491,1578,"VIJAYAWADA, ANDHRA PRADESH",16.50533,80.66121
2001,2,1,0,9,"VIJAYAWADA RLY., ANDHRA PRADESH",16.50533,80.66121
2001,58,12,76,1476,"VISAKHA RURAL, ANDHRA PRADESH",37.60229,-96.035319
