,STATE/UT,DISTRICT,latitude,longitude
0,ANDHRA PRADESH,ADILABAD,17.24083,78.48053
1,ANDHRA PRADESH,ANANTAPUR,14.42524,77.71148
2,ANDHRA PRADESH,CHITTOOR,13.20344,79.08154
3,ANDHRA PRADESH,CUDDAPAH,14.67425,78.42032
4,ANDHRA PRADESH,EAST GODAVARI,16.95918,82.23544
5,ANDHRA PRADESH,GUNTAKAL RLY.,15.16168,77.37832
6,ANDHRA PRADESH,GUNTUR,16.29381,80.45467
7,ANDHRA PRADESH,HYDERABAD CITY,17.24083,78.48053
8,ANDHRA PRADESH,KARIMNAGAR,17.24083,78.48053
9,ANDHRA PRADESH,KHAMMAM,17.24083,78.48053
10,ANDHRA PRADESH,KRISHNA,16.96081,82.23694
11,ANDHRA PRADESH,KURNOOL,15.830925,78.042537
12,ANDHRA PRADESH,MAHABOOBNAGAR,29.484731,-98.411616
13,ANDHRA PRADESH,MEDAK,17.24083,78.48053
14,ANDHRA PRADESH,NALGONDA,17.24083,78.48053
15,ANDHRA PRADESH,NELLORE,14.449372,79.987376
16,ANDHRA PRADESH,NIZAMABAD,17.24083,78.48053
17,ANDHRA PRADESH,PRAKASHAM,13.21797,79.10104
18,ANDHRA PRADESH,RANGA REDDY,17.501381,78.508499
19,ANDHRA PRADESH,SECUNDERABAD RLY.,17.24083,78.48053
20,ANDHRA PRADESH,SRIKAKULAM,18.29494,83.893875
21,ANDHRA PRADESH,VIJAYAWADA,16.50533,80.66121
22,ANDHRA PRADESH,VIJAYAWADA RLY.,16.50533,80.66121
23,ANDHRA PRADESH,VISAKHA RURAL,37.60229,-96.035319
24,ANDHRA PRADESH,VISAKHAPATNAM,17.723128,83.301284
25,ANDHRA PRADESH,VIZIANAGARAM,18.1152,83.3982
26,ANDHRA PRADESH,WARANGAL,17.24083,78.48053
27,ANDHRA PRADESH,WEST GODAVARI,16.42966,81.67985
28,ARUNACHAL PRADESH,CHANGLANG,27.1351,95.73269
29,ARUNACHAL PRADESH,DIBANG VALLEY,28.7,95.7
30,ARUNACHAL PRADESH,KAMENG EAST,27.296587,92.804626
31,ARUNACHAL PRADESH,KAMENG WEST,27.296587,92.804626
32,ARUNACHAL PRADESH,LOHIT,27.86853,96.02421
33,ARUNACHAL PRADESH,PAPUM PARE,27.284315,93.61156
34,ARUNACHAL PRADESH,SIANG EAST,28.00715,95.15934
35,ARUNACHAL PRADESH,SIANG UPPER,28.720025,95.07183
36,ARUNACHAL PRADESH,SIANG WEST,28.066207,95.328081
37,ARUNACHAL PRADESH,SUBANSIRI LOWER,27.729984,94.327964
38,ARUNACHAL PRADESH,SUBANSIRI UPPER,27.643989,94.240939
39,ARUNACHAL PRADESH,TAWANG,27.57086,91.78889
40,ARUNACHAL PRADESH,TIRAP,26.961625,95.432609
41,ASSAM,BARPETA,26.18327,91.69619
42,ASSAM,BONGAIGAON,26.41375,90.58664
43,ASSAM,C.I.D.,-21.74108,-48.18897
44,ASSAM,CACHAR,24.756991,92.881511
45,ASSAM,DARRANG,26.56356,92.067533
46,ASSAM,DHEMAJI,27.4823,94.5684
47,ASSAM,DHUBRI,26.0227,89.9784
48,ASSAM,DIBRUGARH,27.47807,94.90115
49,ASSAM,G.R.P.,44.516527,-64.548099
50,ASSAM,GOALPARA,26.1641,90.625
51,ASSAM,GOLAGHAT,26.5094,93.9621
52,ASSAM,GUWAHATI CITY,26.16422,91.71563
53,ASSAM,HAILAKANDI,24.67846,92.73034
54,ASSAM,JORHAT,26.757793,94.207965
55,ASSAM,KAMRUP,26.16422,91.71563
56,ASSAM,KARBI ANGLONG,25.8602,92.589638
57,ASSAM,KARIMGANJ,24.7592,92.50924
58,ASSAM,KOKRAJHAR,26.39701,90.26366
59,ASSAM,LAKHIMPUR,27.25207,94.0832
60,ASSAM,MORIGAON,26.25337,92.3549
61,ASSAM,N.C.HILLS,26.62007,92.78014
62,ASSAM,NAGAON,26.3026,92.68086
63,ASSAM,NALBARI,26.4458,91.4384
64,ASSAM,R.P.O.,51.51535,-0.06834
65,ASSAM,SIBSAGAR,26.9893,94.6397
66,ASSAM,SONITPUR,26.765603,92.996861
67,ASSAM,TINSUKIA,27.8143,95.64419
68,BIHAR,ARARIA,26.11624,87.46921
69,BIHAR,ARWAL,25.24374,84.663
70,BIHAR,AURANGABAD,24.75486,84.37759
71,BIHAR,BAGAHA,26.8063,84.50465
72,BIHAR,BANKA,24.91797,86.89891
73,BIHAR,BEGUSARAI,25.42721,86.13237
74,BIHAR,BETTIAH,27.06268,84.36026
75,BIHAR,BHABHUA,25.0397,83.6123
76,BIHAR,BHAGALPUR,25.2499,86.982
77,BIHAR,BHOJPUR,25.457898,84.555732
78,BIHAR,BUXAR,25.55433,83.96799
79,BIHAR,DARBHANGA,26.15627,85.89411
80,BIHAR,GAYA,24.85124,85.4713
81,BIHAR,GOPALGANJ,26.79477,84.50827
82,BIHAR,JAMALPUR RLY.,25.35013,86.4844
83,BIHAR,JAMUI,25.16355,86.09713
84,BIHAR,JEHANABAD,25.22217,84.98561
85,BIHAR,KATIHAR,25.543382,87.569042
86,BIHAR,KATIHAR RLY.,25.57002,87.55649
87,BIHAR,KHAGARIA,25.70013,85.88939
88,BIHAR,KISHANGANJ,26.101419,87.950779
89,BIHAR,LAKHISARAI,25.10886,85.78938
90,BIHAR,MADHEPURA,25.9193,86.7903
91,BIHAR,MADHUBANI,26.35696,86.07614
92,BIHAR,MOTIHARI,26.65854,84.91605
93,BIHAR,MUNGER,25.377352,86.473104
94,BIHAR,MUZAFFARPUR,26.11604,85.35055
95,BIHAR,MUZAFFARPUR RLY.,26.11604,85.35055
96,BIHAR,NALANDA,25.1965,85.50982
97,BIHAR,NAUGACHIA,25.25896,87.02431
98,BIHAR,NAWADAH,24.62953,85.91042
99,BIHAR,PATNA,25.22255,85.50275
100,BIHAR,PATNA RLY.,25.22255,85.50275
101,BIHAR,PURNEA,25.778519,87.478401
102,BIHAR,ROHTAS,24.62442,83.9179
103,BIHAR,SAHARSA,25.87445,86.61204
104,BIHAR,SAMASTIPUR,25.8598,85.7866
105,BIHAR,SARAN,25.92175,84.76795
106,BIHAR,SHEIKHPURA,25.1339,85.8554
107,BIHAR,SHEOHAR,26.46444,85.1722
108,BIHAR,SITAMARHI,26.33243,85.36077
109,BIHAR,SIWAN,26.23828,84.3581
110,BIHAR,SUPAUL,26.1131,86.5931
111,BIHAR,VAISHALI,25.93782,85.1459
112,CHHATTISGARH,BALRAMPUR,23.61169,83.60992
113,CHHATTISGARH,BILASPUR,23.16533,82.35541
114,CHHATTISGARH,BIZAPUR,21.26685,82.04127
115,CHHATTISGARH,DANTEWARA,21.26685,82.04127
116,CHHATTISGARH,DHAMTARI,20.7342,81.53572
117,CHHATTISGARH,DURG,21.18562,81.2802
